,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
110,2020-06-10T00:00:00.000Z,196.84,198.52,191.01,191.13,43872329,193.3428793524,194.99303195,187.6164569453,187.7343249879,43872329,0.0,1.0
111,2020-06-11T00:00:00.000Z,186.27,195.76,186.07,193.13,52854672,182.9606692592,192.2820669682,182.7642225214,189.698792366,52854672,0.0,1.0
112,2020-06-12T00:00:00.000Z,187.74,191.72,185.18,190.54,43373587,184.4045527821,188.3138428645,181.8900345381,187.1548071114,43373587,0.0,1.0
113,2020-06-15T00:00:00.000Z,188.94,190.82,184.01,184.58,32770189,185.5832332089,187.4298325443,180.7408211219,181.3006943247,32770189,0.0,1.0
114,2020-06-16T00:00:00.000Z,193.57,195.58,191.46,192.89,42556656,190.1309751892,192.1052649042,188.0584621053,189.4630562807,42556656,0.0,1.0
115,2020-06-17T00:00:00.000Z,194.24,196.32,193.69,195.03,25687822,190.7890717609,192.8321178341,190.2488432319,191.5650363752,25687822,0.0,1.0
116,2020-06-18T00:00:00.000Z,196.32,196.49,194.0,194.0,23061648,192.8321178341,192.9990975612,190.5533356755,190.5533356755,23061648,0.0,1.0
117,2020-06-19T00:00:00.000Z,195.15,199.29,194.37,198.59,44441141,191.6829044179,195.7493518906,190.9167621405,195.0617883082,44441141,0.0,1.0
118,2020-06-22T00:00:00.000Z,200.57,200.76,195.23,195.79,32818929,197.0066110126,197.1932354135,191.761483113,192.3115339789,32818929,0.0,1.0
119,2020-06-23T00:00:00.000Z,201.91,203.95,201.43,202.09,30917447,198.3228041559,200.3265608815,197.8513319851,198.4996062199,30917447,0.0,1.0
120,2020-06-24T00:00:00.000Z,197.84,203.25,196.56,201.6,36740647,194.3251130415,199.6389972992,193.0678539195,198.0183117123,36740647,0.0,1.0
121,2020-06-25T00:00:00.000Z,200.34,200.61,195.47,197.8,27803933,196.7806972641,197.0459003601,191.9972191984,194.2858236939,27803933,0.0,1.0
122,2020-06-26T00:00:00.000Z,196.33,199.89,194.88,199.73,54675780,192.841940171,196.338692104,191.4177013219,196.1815347138,54675780,0.0,1.0
123,2020-06-29T00:00:00.000Z,198.44,198.53,193.55,195.78,26701586,194.9144532549,195.0028542869,190.1113305154,192.301711642,26701586,0.0,1.0
